id,name,height,date_of_birth,known_for_movies
nm0011752,Maren Ade,150,12-12-1976,tt4048272
nm0000309,David Bowie,178,08-01-1947,
nm0011775,Ghadah Adel,150,,tt10497826
nm0000313,Jeff Bridges,187,04-12-1949,
nm0012078,Scott Adkins,178,17-06-1976,tt6237612
nm0000319,Yancy Butler,170,02-07-1970,
nm0012081,Trace Adkins,198,13-01-1962,tt6450186
nm0000321,Gabriel Byrne,178,12-05-1950,
nm0012707,Rodney Afif,150,,"tt5461944,tt1790809"
nm0000322,Emmanuelle Béart,163,14-08-1963,
nm0013138,Jim Agnew,150,,tt5864904
nm0000323,Michael Caine,188,14-03-1933,
nm0013841,Pegah Ahangarani,150,,tt5888276
nm0000324,Barbara Carrera,173,31-12-1945,
nm0014105,Rafik Ali Ahmad,150,,tt6350558
nm0000328,Richard Chamberlain,185,31-03-1934,
nm0014474,Umie Aida,150,18-01-1973,tt0862930
nm0000329,Jackie Chan,174,07-04-1954,
nm0014960,Alexandre Aja,150,07-08-1978,tt8364368
nm0000331,Chevy Chase,192,08-10-1943,
nm0015295,Zoya Akhtar,150,14-10-1972,tt2395469
nm0000334,Yun-Fat Chow,186,18-05-1955,
nm0015359,Fatih Akin,150,25-08-1973,tt5723272
nm0000335,Glenn Close,165,19-03-1947,
nm0016074,Albert Alarr,150,,tt4109632
nm0000344,Denise Crosby,173,24-11-1957,
nm0018121,Flávia Alessandra,167,07-06-1974,tt6471684
nm0000345,Billy Crystal,170,14-03-1948,
nm0018554,Khandi Alexander,163,04-09-1957,tt4572514
nm0000352,Vincent D Onofrio,192,30-06-1959,
nm0019247,Tomas Alfredson,178,01-04-1965,tt1758810
nm0020143,Landry Allbright,163,01-08-1989,tt4974778
nm0000354,Matt Damon,178,08-10-1970,
nm0020329,Brittany Allen,174,05-02-1986,"tt7073710,tt5735280"
nm0000358,Daniel Day-Lewis,187,29-04-1957,
nm0021823,Cleia Almeida,165,24-11-1982,tt5528282
nm0000360,Rebecca De Mornay,166,29-08-1959,
nm0022198,Johnny Alonso,173,22-11-1970,"tt5679554,tt5834362"
nm0000362,Danny DeVito,147,17-11-1944,
nm0022609,Hanna Alström,171,05-03-1981,"tt4649466,tt5287168"
nm0000363,Loren Dean,180,31-07-1969,
nm0023361,Laura Alvea,150,20-12-1976,tt3954646
nm0000365,Julie Delpy,173,21-12-1969,
nm0025435,Simon Amstell,178,29-11-1979,"tt6667360,tt7455076"
nm0000366,Catherine Deneuve,168,22-10-1943,
nm0025955,Adam Thomas Anderegg,150,,tt7078004
nm0000367,Gérard Depardieu,180,27-12-1948,
nm0026174,John Andreas Andersen,150,,tt6523720
nm0029458,Hélène Angel,150,03-05-1967,tt5180240
nm0029754,Angelyne,150,02-10-1950,tt3521126
nm0000374,Brad Dourif,175,18-03-1950,
nm0030791,Sathyan Anthikad,150,,tt8286926
nm0000375,Robert Downey Jr.,174,04-04-1965,
nm0031342,Predrag Antonijevic,150,07-02-1959,tt5178964
nm0000377,Richard Dreyfuss,165,29-10-1947,
nm0031483,Atle Antonsen,189,11-08-1969,tt7597486
nm0000378,Minnie Driver,178,31-01-1970,
nm0031590,Jackson Antunes,150,28-08-1953,tt6544940
nm0000379,Kirsten Dunst,170,30-04-1982,
nm0032714,Sharif Arafah,150,,tt10503934
